[MAIN        ] Simulation started.
[34143035 ms][SHIP        ] Waiting to unload at F3. F3 P1: 3/10 [34143035 ms]
[34143043 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34143043 ms]
[34143081 ms][F3-DPT2     ] Produced P3 unit 36 (consumed 2 P1 and 1 P2) [34143081 ms]
[34143147 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34143147 ms]
[34143186 ms][F3-DPT1     ] Produced P3 unit 37 (consumed 2 P1 and 1 P2) [34143186 ms]
[34143247 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34143247 ms]
[34143277 ms][TRUCK2      ] Unloaded 2 P2 to F3. Returning to F2... [34143277 ms]
[34143286 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34143286 ms]
[34143348 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34143348 ms]
[34143427 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34143427 ms]
[34143448 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34143448 ms]
[34143481 ms][F3-DPT2     ] Produced P3 unit 38 (consumed 2 P1 and 1 P2) [34143481 ms]
[34143537 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34143537 ms]
[34143537 ms][SHIP        ] Waiting to unload at F3. F3 P1: 2/10 [34143537 ms]
[34143549 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34143549 ms]
[34143649 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34143649 ms]
[34143690 ms][F3-DPT1     ] Produced P3 unit 39 (consumed 2 P1 and 1 P2) [34143690 ms]
[34143750 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34143750 ms]
[34143789 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34143789 ms]
[34143828 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34143828 ms]
[34143829 ms][TRUCK1      ] Loaded 2 P2. Travelling to F3... [34143829 ms]
[34143850 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34143850 ms]
[34143882 ms][F3-DPT2     ] Produced P3 unit 40 (consumed 2 P1 and 1 P2) [34143882 ms]
[34143951 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34143951 ms]
[SCENARIO    ] F3 Dept 1 paused...
[34144039 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34144039 ms]
[34144039 ms][SHIP        ] Waiting to unload at F3. F3 P1: 3/10 [34144039 ms]
[34144051 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34144051 ms]
[34144081 ms][TRUCK1      ] Unloaded 2 P2 to F3. Returning to F2... [34144081 ms]
[34144152 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34144152 ms]
[34144229 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34144229 ms]
[34144252 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34144252 ms]
[34144290 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34144290 ms]
[34144352 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34144352 ms]
[34144452 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34144452 ms]
[34144482 ms][F3-DPT2     ] Produced P3 unit 41 (consumed 2 P1 and 1 P2) [34144482 ms]
[34144488 ms][F3-DPT1     ] Produced P3 unit 42 (consumed 2 P1 and 1 P2) [34144488 ms]
[34144541 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34144541 ms]
[34144541 ms][SHIP        ] Waiting to unload at F3. F3 P1: 4/10 [34144541 ms]
[34144553 ms][F1-DEPT     ] Produced P1. Storage: 6/10 [34144553 ms]
[34144630 ms][F2-DEPT     ] Produced P2. Storage: 2/5 [34144630 ms]
[34144630 ms][TRUCK4      ] Loaded 2 P2. Travelling to F3... [34144630 ms]
[34144653 ms][F1-DEPT     ] Produced P1. Storage: 7/10 [34144653 ms]
[34144754 ms][F1-DEPT     ] Produced P1. Storage: 8/10 [34144754 ms]
[34144791 ms][SHIP        ] Unloaded 5 P1 to F3. Returning to F1... [34144791 ms]
[34144854 ms][F1-DEPT     ] Produced P1. Storage: 9/10 [34144854 ms]
[34144882 ms][TRUCK4      ] Unloaded 2 P2 to F3. Returning to F2... [34144882 ms]
[34144955 ms][F1-DEPT     ] Produced P1. Storage: 10/10 [34144955 ms]
[34145030 ms][F2-DEPT     ] Produced P2. Storage: 1/5 [34145030 ms]
[34145042 ms][SHIP        ] Loaded 5 P1. Travelling to F3... [34145042 ms]
[34145042 ms][SHIP        ] Waiting to unload at F3. F3 P1: 9/10 [34145042 ms]
